category,business_count,saturation_score,saturation_level
"Advertising, Brand Management, Graphic Design, T-Shirt Printing, Printing, Web Design, Banners, Graphics, Photocopying, Printing",1,0.03125,Low
"Beauty Professionals, Beauty Treatments, Massage, Waxing Treatments, Complementary Therapy, Laser Therapy, Nails, Beauty, Massage",1,0.03125,Low
"Advertising, Advertising Agencies, Photography Services, Digital Media, Social Media, Marketing, advertising agency in zambia, marketing agency in zambia, digital marketing, Photography",1,0.03125,Low
"Human Resources, Assessment and Development Consultants, Customer Services, Employee Surveys, Consultants, Training, Team building, Consultants",1,0.03125,Low
"Market Research, Web Development, Web Services, Domain Name Registration, Weddings",1,0.03125,Low
"Advertising, Software Applications, Web Development, Information Technology, Film, Television and Video, Animation, Website development, Software development",1,0.03125,Low
"Communications, Web Design, Web Hosting, Web Services, Website Maintenance, Website Performance, Web designing, Domain name registration",1,0.03125,Low
"Construction Services, Building Maintenance, CCTV cameras, Generators, Cold rooms",1,0.03125,Low
"Computer Software Solution, Payroll Services, Palladium, QUICKBOOKS, Sage Pastel",1,0.03125,Low
"Secretarial Services, Admin and Clerical, Anywhere",1,0.03125,Low
"Event Equipment, Chair Cover Hire, Lighting Hire, Tableware Hire",1,0.03125,Low
"Doctors and Clinics, Medical Clinic, Medical Equipment, Healthcare IT, Surgical Supplies",1,0.03125,Low
"Information Technology, Event Equipment, Computers, Information technology",1,0.03125,Low
Computer Software Solution,1,0.03125,Low
"Colleges, Education, Schools, Primary Schools, Secondary Schools",1,0.03125,Low
"Advertising, Media Agencies, Media Consultancy, Market Research, Data collection",1,0.03125,Low
"Advertising, Digital Marketing, Social Media Management, digital marketing, Website development, Brand management",1,0.03125,Low
"Plumbers, PLUMBING",1,0.03125,Low
"Electrical Service, Electrical Goods",1,0.03125,Low
"Security Services, Event Services, Event Security Services, Industrial Premises, Security Fencing, Security, SECURITY GUARDS SEVICES, Cctv",1,0.03125,Low
"Civil Engineering, Electrical Service, Trusted, Electrical",1,0.03125,Low
"Tour Operators, Activity Holidays, Tourist Information, Travel Agents, Visa Agencies, Air Travel, Zambia",1,0.03125,Low
"Architectural Services, Building Materials, Decorators, Remodeling, Paving, Interior Design, BUILDING MAINTENANCE, Landscaping, Interior design",1,0.03125,Low
"Automotive, Motorcar Accessories & Supplies, Car Parts and Accessories, Fuel monitoring, Roadside assistance, Fleet management, Vehicle tracking",1,0.03125,Low
"Cleaning Equipment & Services, General Office Services, Contract Cleaners, Retail Services, Retail and Shop Cleaning, Cleaning, Domestic Cleaning, Office Cleaning, Cleaning",1,0.03125,Low
"Advertising, Digital Marketing, Web Development, digital marketing",1,0.03125,Low
Engineering,1,0.03125,Low
"Farming, Agricultural Supplies, Consulting, Management",1,0.03125,Low
"Business Centres, Industrial Services, Grazed, Polished",1,0.03125,Low
Motorbikes,1,0.03125,Low
"AC Repair Services, Cold Storage Services, Civil Engineering, Industrial Premises, Warehouse Refurbishments",1,0.03125,Low
"Communications, Telecom Consultants",1,0.03125,Low
"General Office Services, Office Furniture, Workplace Products, Office supplies",1,0.03125,Low
"Printing, Print and Reprographics, Networking, Web Development, Database Driven Websites, Web Hosting",1,0.03125,Low
"Doctors and Clinics, Physiotherapy, Chiropractors",1,0.03125,Low
"Advertising, T-Shirt Printing, Printing, Screen Printing, Clothing and Accessories, Uniforms, Corporate Shirts",1,0.03125,Low
"Advertising, Graphic Design, Printing, Web Design, Web Development, Photography, Social Media Management, Branding, Photography, Web Design, Graphic design",1,0.03125,Low
"Information Technology, Artificial Intelligence, Software Engineering, Software development",1,0.03125,Low
Construction Services,1,0.03125,Low
"Overseas Business, Import and Export Agents, Clothing and Accessories, Clothes Shops, Ladies Clothing, Mens Clothes",1,0.03125,Low
"Computer Consumables, Printer Supplies, Computer Repair, Software Applications, Web Design, Graphic Design, Android, Software development, Website, Computer, Repair",1,0.03125,Low
"Advertising, Graphic Design, Media Agencies, Online Advertising, Photography Services, Social Media, digital marketing, Graphic Designing",1,0.03125,Low
"Medical Equipment, Surgical Supplies, Farming, Farm Supplies, Industrial Supplies, Chemicals, Medical equipment supplies, Surgical dental instruments, Farming",1,0.03125,Low
"Marketing, Software Applications, Web Development, Database Driven Websites, Information Technology, App Development, Website development, Software development, Marketing",1,0.03125,Low
"Advertising, Brand Management, Graphic Design, Software Applications, Web Design, Information Technology, Software company, tech company, mobile app development, Web Design",1,0.03125,Low
"Weddings, Wedding Jewellery, Jewellery, Jewellery Design, Affordable, Jewellery",1,0.03125,Low
"Architectural Services, Construction Services, Remodeling, Interior Design, Home Remodeling, Home Improvement",1,0.03125,Low
"Clothing and Accessories, Fashion Accessories, Uniforms, Electrical Goods, Textile, Buttons Bit For Mining, Fabric Shops in Lusaka",1,0.03125,Low
"General Business, Weddings, Cafes, Food Retailers, Bakers, Cake Design, Cupcakes, Food Suppliers, Bakery",1,0.03125,Low
"Arts and Crafts, Florists, Event Services, Event Management, Weddings, Wedding Flowers, Flower Shops in Lusaka, Flower Delivery Lusaka Zambia, Florist, Flowers",1,0.03125,Low
"Motorbikes, Motorbikes For Sale, Gatoma Motorcycle, Electric Motorcycle Scooter, Helmets For Sale Near Me, motorbike, Motorbikes",1,0.03125,Low
"General Business, Market Research, Computer Consumables, Web Design, Web Services, Medical Equipment, Hospital equipment, Office equipment",1,0.03125,Low
"Motorbikes, Cycle Shops Near Me, Bicycle Shops in Lusaka, Bike Shops in Lusaka, Best of Bikes Lusaka, Services, Zambia",1,0.03125,Low
"Advertising, Advertising Agencies, Brand Management, Digital Signage, Automotive, Car Rental, Transport, Vacation Rentals, Apartment Rental, Rental Property, Digital advertising, airport transfer, Car hire, Car rental",1,0.03125,Low
"Overseas Business, Freight forwarding",1,0.03125,Low
"Computer Consumables, Printer Supplies, Tapes, Printers",1,0.03125,Low
"Home and Garden, Bolts & Nuts, Bearings, Bearing, Fasteners",1,0.03125,Low
"Energy Suppliers, Solar Energy, Automotive, Automobile Batteries, Paper Products, Steel Products",1,0.03125,Low
"Advertising, Catalogue Designers, T-Shirt Printing, Printing, Design and Print, Web Design and Hosting, Branding, Business cards",1,0.03125,Low
"Education, Schools, Secondary Schools, Private Schools, International Schools, Tutoring, Cambridge IGCSE, International gcse",1,0.03125,Low
"Associations, Africa, Zambia, Lusaka",1,0.03125,Low
"Advertising, Graphic Design, Video Production, Music, Weddings, Wedding Music",1,0.03125,Low
"FinTech (Financial Technology), Financial Activity",1,0.03125,Low
"Advertising, Photography Services, T-Shirt Printing, General Office Services, Office Equipment, Secretarial Services, Photocopying, Photocopying Machine Near Me, Office Machines Zambia, Office Machines, Photocopy, Solar energy equipment, Office equipment",1,0.03125,Low
"Food Retailers, Bottled Water",1,0.03125,Low
"Computer Consumables, Computer Software Solution, Computer Repair, Computers Hardware, Web Development, Information Technology, Smartnet, Companies in Zambia, IT companies in Zambia, Computer",1,0.03125,Low
"Towing Service, Roadside assistance",1,0.03125,Low
"General Office Services, Stationery, Networking, Computer Networking, Hardware Stores, Mobile Phone Shops, Computer Stores Near Me, Website, Repairs, Sound, Network, Printers, King, Cosmic, Computer, Business, Laptops, Zambia, Lusaka, Stationery suppliers, Security, Web Design",1,0.03125,Low
"Construction Services, Roofing, Concrete",1,0.03125,Low
"Advertising, Communications, Web Development, Ecommerce, Apps, Clothing and Accessories, Electronic Equipment, Furniture, Marketplace, shop online, e-commerce",1,0.03125,Low
"Farming, Agriculture, Lamsat Zambia, Lamasat Zambia Contact Details, Lamasat International, Lamasat Lusaka, Lamasat Contact Details, Lamasat, Lamasat Zambia",1,0.03125,Low
"Communications, Mobile Phone Services, Mobile Phone Shops, Mobile Phones, Phone Accessories",1,0.03125,Low
"Advertising, Brand Management, Copywriters, Graphic Design, Media Consultancy, Outdoor Advertising, Creative, Branding, Photography, Printing, Advertising",1,0.03125,Low
"Audit and Accounting, Accounting",1,0.03125,Low
"Advertising, Advertising Agencies, Digital Marketing, Advertising Agency in Lusaka, marketing agency in zambia",1,0.03125,Low
"Construction Services, Decorators, Construction, Construction Company",1,0.03125,Low
"Farming, Tractor Parts and Spares, Massey Ferguson Tractors",1,0.03125,Low
"Clothing and Accessories, Boutique, Beauty & Hair Accessories",1,0.03125,Low
"Apartments, Airports, Car Rental, Airport transfers, Apartments",1,0.03125,Low
"Advertising, Advertising Agencies, Artificial Intelligence, Cloud Computing",1,0.03125,Low
"Advertising, Brand Management",1,0.03125,Low
"Security Services, Industrial Premises, Industrial Security, Security Fencing, Security, GPS tracking, ACCESS CONTROL, Cctv",1,0.03125,Low
"Industrial Automation, Control Systems, Construction Equipment",1,0.03125,Low
"Advertising, Graphic Design, Digital Marketing, Digital, Web Design, Graphic design",1,0.03125,Low
"Doctors and Clinics, Medical Clinic, Mens Clinic Lusaka",1,0.03125,Low
"Gifts, Cosmetics and Toiletries",1,0.03125,Low
"Event Services, Event Photography, Wedding, Management, Events",1,0.03125,Low
"Marketplace, marketplace, Web services",1,0.03125,Low
"Apartments, Holiday Homes, Accommodation in zambia",1,0.03125,Low
"Retail Services, Barcode Systems, Cash Register Services, Point of Sale Solutions, Information Technology, Industrial Automation, Assembly Equipment, Industrial Services, Weighbridges",1,0.03125,Low
"Logistics, Removals and Relocation, Removals, Moving, Warehousing, Forwarding, Freight, Household",1,0.03125,Low
"Event Services, Event Planning, Hiring Services, Engineering, Tents",1,0.03125,Low
"Software Applications, Web Development, Website development, Software development, Software solutions, Web development",1,0.03125,Low
"Complementary Therapy, Chinese Medicine",1,0.03125,Low
"Music, Music, Online Music",1,0.03125,Low
"Cleaning Equipment & Services, General Office Services, Printing, Secretarial Services, Internet Service Providers, Audit and Accounting, Air Transport, Logistics, Vehicle Services, Shipping & Port Agent, Post Office Near Me, Post Office Contact Details, Post Office, Post Office Zambia",1,0.03125,Low
"Food Retailers, Meats Retail, Restaurants, Fast Food, Farming, Livestock, AgTech, Food and Beverage, Supply chain management",1,0.03125,Low
"Auctioneers, Retail",1,0.03125,Low
"Doctors and Clinics, Hospitals, Medical Tourism, Medical Equipment, Healthcare IT, Medical Supplies, Mri equipment, Healthcare, Ultrasound",1,0.03125,Low
"Architectural Services, Aluminium, Building Materials, Construction Services, Construction",1,0.03125,Low
"Advertising, Advertising Software, Printing, Specialist Printing, Energy Suppliers, Electricity Suppliers, Barcodes, Printing",1,0.03125,Low
"Building Materials, Interior Design, Buildings, Fitted kitchens",1,0.03125,Low
"Advertising, Advertising Agencies, Brand Management, Photography Services, Fashion, Modeling Agencies, zambian models",1,0.03125,Low
"Advertising, Brand Management, Printing, Screen Printing, Clothing and Accessories, Uniforms, Corporate branding, Protective Clothing",1,0.03125,Low
"Advertising, Consultants, Marketing, Printing, Communications, Web Design, Web Management, Print, Branding, Marketing, Advertising",1,0.03125,Low
"Advertising, 3D Displays, Advertising Agencies, Corporate Identity Design, Logo Design, T-Shirt Printing, Logo, Media, Advertising",1,0.03125,Low
"Communications, Telecom Consultants, Networking, Cabling and Fibre Optics, WiFi",1,0.03125,Low
"AC Repair Services, Electrical Goods, Air Conditioning, Construction Services",1,0.03125,Low
"Farming, Agricultural Consultant, Agribusiness, Training",1,0.03125,Low
"Real Estate Agents, Letting Agents, Property Development, Apartment Rental, Realtors, PROPERTY MANAGEMENT",1,0.03125,Low
"Printing, Design and Print, Digital Printing, Print and Reprographics, Flyers, Business cards, Digital printing",1,0.03125,Low
"Event Services, Event Decorators, Weddings, Wedding Flowers, Gifts, Florists, Florist, Flowers",1,0.03125,Low
"Security Services, Event Services, Event Security Services, Security, SECURITY GUARDS SEVICES, Private Investigations, Cctv",1,0.03125,Low
"Event Equipment, Exhibition Stands, Event Services, Exhibition Organisers, Steel Products, Tents",1,0.03125,Low
"Energy Suppliers, Solar Energy, Electrical Service, Solar Panels, Solar Batteries, Solar, Electrical",1,0.03125,Low
"Doctors and Clinics, Hospitals, Medical Clinic, Health Care, Opticians, opticians in lusaka",1,0.03125,Low
"Human Resources, Employment Agencies, Employment Training, HR Consultancy, HR Outsourcing, Job Vacancies",1,0.03125,Low
"Fire Safety Consultants, Fire Risk Assessment, Human Resources, Private Investigation, Fraud investigations",1,0.03125,Low
"Commercial Property, Real Estate Agents, Property Development, Houses, Shops",1,0.03125,Low
"Advertising, Outdoor Advertising, T-Shirt Printing, Printing, Design and Print, Print and Reprographics, Branding, Signage, Billboards, Books, Printing",1,0.03125,Low
"Advertising, Advertising Agencies, Graphic Design, Media Consultancy, Online Advertising, Video Production, Social Media Management, Media, Web development, Advertising",1,0.03125,Low
"Advertising, Illustrators, Film, Television and Video, Animation, marketing agency, Animation, Graphic design",1,0.03125,Low
"Human Resources, Employment Training, HR Consultancy, Psychometric Testing, Workforce Management, Consultants, communication, Team building, Training",1,0.03125,Low
"Automotive, Motorcar Accessories & Supplies, Automobile Batteries, Vehicle Services, Mechanics",1,0.03125,Low
"Health and Safety, Driving Schools, Vehicle Services, Vehicle Valuation",1,0.03125,Low
"Consultants, Market Research, Small Business, Business Advice, Farming, Agricultural Consultant, Irrigation, Project monitoring and evaluation, Agribusiness, Agriculture, Market research",1,0.03125,Low
"Civil Engineering, Structural Engineers, Architectural Services, Interior Design, Architect, House, Interior design",1,0.03125,Low
"Human Resources, Consultants, Small Business, Business Support Services, Audit and Accounting",1,0.03125,Low
"Computer Consumables, Computer Repair, Computers Hardware, Networking, Computer Networking, Software Applications, Information technology, Computer networking, Office equipment",1,0.03125,Low
"Vehicle Services, Vehicle security, Fleet management, Vehicle tracking",1,0.03125,Low
"Advertising, Graphic Design, Printing, Software Applications, Web Development, Web Services, Printing services, Branding",1,0.03125,Low
"Advertising, Management, Tracking, Fleet",1,0.03125,Low
"Industrial Premises, Aluminium, Stainless Steel, Doors, Windows",1,0.03125,Low
"Advertising, Advertising Agencies, Graphic Design, Logo Design, Online Advertising, Social Media, social media marketing, Website design, Graphic design",1,0.03125,Low
"Advertising, Brand Management, Design Agencies, Graphic Design, Online Advertising, Social Media, digital marketing, Website development, Communications",1,0.03125,Low
Industrial Supplies,1,0.03125,Low
"Advertising, Corporate Identity Design, Graphic Design, Logo Design, Outdoor Advertising, Social Media, Designing, Branding, Signage, Printing, Outdoor advertising",1,0.03125,Low
"Consultants, Small Business, Business Support Services, Information Technology, Industrial Automation, asset tags",1,0.03125,Low
"Construction Equipment, Construction Services, Haulage, Logistics, Shipping & Port Agent, Trucks, Transport, Logistics, Haulage",1,0.03125,Low
"Civil Engineering, Bridge Construction, Structural Engineers, Construction Equipment, Construction Services, Construction, Design, Building, Civil, Construction",1,0.03125,Low
"Advertising, Small Business, Online Content, Web Development, Ecommerce, online shopping in zambia",1,0.03125,Low
"Human Resources, Criminal Records Check, Private Investigation, Mental Health Care, Behavioural Therapy, Psychotherapy",1,0.03125,Low
"Civil Engineering, Industrial Automation, Electrical Service, Electrical Goods, Cable Tray, Enclosure, Feeder Pillar",1,0.03125,Low
"Web Design, Search Engine Optimisation, Web Hosting, Web Services, E-business Consultancy, Website Management, search engine optimization, Social Media Management, Web Design, Graphic design, Brand management",1,0.03125,Low
"Beauty Products, Cosmetics, Fragrance and Perfume, Permanent Makeup, Perfumes, Cosmetics",1,0.03125,Low
"Advertising, Social Media, Digital Marketing, Web Services, Website Management, Website Maintenance, Graphic Designing, It services, Marketing, Online advertising",1,0.03125,Low
"Beauty Products, Organic Skincare, Skincare, Soap",1,0.03125,Low
"Brokers, Market Research, Sales Outsourcing, Business Management Consulting, Farming, Translation Services, Business Consultancy, Agribusiness",1,0.03125,Low
"Education, Tutors",1,0.03125,Low
"Advertising, 3D Visualisations, Advertising Agencies, Online Advertising, Digital Media, Web Design, Advertising agency, social media marketing, digital marketing, Website development, Branding",1,0.03125,Low
"Advertising, Farm Land, Vehicle",1,0.03125,Low
"Advertising, Cameramen, Graphic Design, Photography Services, Video Production, Digital Media, Film, Media, Photography",1,0.03125,Low
"Fashion, Fashion Events, Modeling Agencies, Photography, Schools, Fashion Schools, youth, Fashion",1,0.03125,Low
"Civil Engineering, Engineering, Architectural Services",1,0.03125,Low
"Human Resources, Job Vacancies, Jobs in Zambia, Zambia Jobs",1,0.03125,Low
"Advertising, Graphic Design, Social Media, Market Research, Consumer Behaviour, Web Analytics, Data Analysis, digital marketing, Market research, Advertising",1,0.03125,Low
"Weddings, Wedding Photographers, Wedding Planners, Wedding Videographers, Clothing and Accessories, Wedding Dress Hire",1,0.03125,Low
"AC Repair Services, Computer Repair, Networking, Cabling and Fibre Optics, Film, Television and Video, Television Repair, Electrical",1,0.03125,Low
"Lawyers, Business Law, Conveyancing Lawyers, Legal Services, Debt Collection Agencies, Legal Secretaries",1,0.03125,Low
"Building Materials, Decorators, Stainless Steel",1,0.03125,Low
"Home and Garden, Furniture Stores, Furniture, Furniture Stores in Lusaka Zambia",1,0.03125,Low
"Dentists, Medical Equipment, Healthcare IT, Laboratory Testing, Medical Supplies, Surgical Supplies, dental equipment, Dental instruments",1,0.03125,Low
"Advertising, Advertising Software, Brand Management, Online Advertising, Digital Media, Social Media, Social Media, digital marketing, Advertising",1,0.03125,Low
"General Office Services, Office Furniture, Stationery, Printing, Office Consumables, Furniture, Printing, Stationery, Office equipment",1,0.03125,Low
"Advertising, Brand Management, Design Agencies, Graphic Design, Online Advertising, Social Media, Social Media, Online marketing, Marketing, Graphic design, Advertising",1,0.03125,Low
"Beauty Professionals, Natural Skincare, Beauty Products, Essential Oils, Organic Skincare",1,0.03125,Low
"Business Centres, Communications, Event Services, Food Retailers, Mobile Phone Shops, Vehicle Sales, internet cafe, Business Centre, Telecommunication, Computers",1,0.03125,Low
"General Office Services, Communications, Computer Consumables, Information Technology, Office Consumables, Software development, Electronics",1,0.03125,Low
"Clothing and Accessories, Uniforms, Apparel, Clothing, Building construction, Protective Clothing",1,0.03125,Low
"Advertising, Beauty Professionals, Beauty Therapists, Health Care",1,0.03125,Low
Vehicle Services,1,0.03125,Low
"Water Treatment, Solar Panels, Environmental Services",1,0.03125,Low
"Communications, Call Centres, Telephone Engineers",1,0.03125,Low
"Logistics, Imports, Customs, Transport",1,0.03125,Low
"Leisure, Hotels, Tour Operators, Game drives, Fishing, Lodges in zambia",1,0.03125,Low
"Cleaning Equipment & Services, Retail Services, Retail and Shop Cleaning, Dry Cleaning, Chemicals, Chemicals Cleaning, Garbage Collection, Clean, Lusaka, Cleaning",1,0.03125,Low
"Advertising, Advertising Agencies, Brand Management, Media Consultancy, Digital Media, Social Media, Media Buying, Experiential marketing, Public relations",1,0.03125,Low
"Leisure, Hotels, Lodgeslodgessafari lodges",1,0.03125,Low
"Computers Hardware, Networking, Computer Networking, Networking Consultants, Information Technology, Hardware Stores",1,0.03125,Low
"Food Manufacturing, Food Processing",1,0.03125,Low
"Consultants, Market Research, Printing, Training, Books, Book Publishers, Graphic design services, Research, Education",1,0.03125,Low
"Human Resources, Consultants, Market Research, Sales Outsourcing, Small Business, Real Estate Agents, Business plan, Consultancy, Research, Real estate",1,0.03125,Low
"Advertising, Brand Management, Marketing, Public Relations, Media Relations, PR Consultants, marketing agency",1,0.03125,Low
"Building Materials, Construction Services, Renovation, Building construction, Cleaning services",1,0.03125,Low
"Human Resources, HR Outsourcing, Market Research, Market Research Consultants, Communications, Call Centres",1,0.03125,Low
"Small Business, Wholesale Traders, Take Aways, Lunch Delivery, Logistics",1,0.03125,Low
"Communications, SMS Services, Networking, Computer Networking, Web Development, Database Driven Websites",1,0.03125,Low
"Construction Services, Aluminium",1,0.03125,Low
"Overseas Business, Import and Export Agents, Web Services, Logistics, Transport, Vehicle Sales, Freight Forwarders",1,0.03125,Low
"Advertising, Computer Consumables, Networking, Photography, Event Services, Exhibition Graphics, Network",1,0.03125,Low
"Payroll Services, Doctors and Clinics, Hospitals, Funeral Directors",1,0.03125,Low
"Advertising, Design Agencies, Graphic Design, Online Advertising, Digital Media, Social Media, Social Media, Design, Website, Marketing",1,0.03125,Low
"Networking, Cabling and Fibre Optics, Web Design, Web Designers, Information Technology, Zambia, Information technology, Networking",1,0.03125,Low
"Advertising, Marketing, Small Business, Communications, Fashion, Photography, Wedding photography",1,0.03125,Low
"Computer Software Solution, Software Applications, Software, Retail",1,0.03125,Low
"Computer Software Solution, point of sale software, Accounting software",1,0.03125,Low
"Advertising, Health and Safety, Human Resources, Online Content, Web Services, E-business Consultancy, Business Consultancy, Web hosting, Web Design",1,0.03125,Low
"Insurance Companies, Financial Activity, Auto Insurance, Property Insurance",1,0.03125,Low
"Farming, Wood Products, Agriculture, Jewellery, Aluminium, Kroupwood Zambia, Kroupwood, Diamond products",1,0.03125,Low
"General Office Services, Beauty Products, Cosmetics, Essential Oils, Skincare, Soap, Pharmacy in Lusaka, Pharmacies in Lusaka",1,0.03125,Low
"Driving Schools, Logistics, Motorbikes, Vehicle Services, Towing Service, Auto Services, Vehicle Valuation, Roadside assistance, Fleet management, Vehicle tracking",1,0.03125,Low
"Software Applications, Web Services, Internet Security, Website Management, Website Maintenance, tech company, IT Solutions",1,0.03125,Low
"Advertising, 3D Displays, Architectural Services, Graphic Designs",1,0.03125,Low
"Web Development, Ecommerce, Food Retailers, Organic Food Delivery, Logistics, Delivery, Courier, Logistics",1,0.03125,Low
"Advertising, Digital Signage, Graphic Design, Printing, Web Design, Web Development, Website design, Printing, Logo design, Graphic design",1,0.03125,Low
"Automotive, Motorcar Accessories & Supplies, Car Parts and Accessories, Mechanics, honest",1,0.03125,Low
"Consultants, Market Research, Data Collection, Communications, Online Content, Online Surveys, Project monitoring and evaluation, Research, Data collection",1,0.03125,Low
"Civil Engineering, Bridge Construction, Structural Engineers, Building Materials, Construction Services, Building Maintenance, Building construction, Designing, Civil engineering",1,0.03125,Low
"Cleaning Equipment & Services, Chemicals, Chemicals Cleaning, Pest Control, Cleaning, Fumigation  services, Cleaning services",1,0.03125,Low
"Driving Schools, Motorbikes, Auto Repair, Auto Services, Auto Parts- New & Used, Auto Supplies, Sale, Motorbikes",1,0.03125,Low
"Information Technology, Risk Management",1,0.03125,Low
"Advertising, Magazine Publishing, Printing, Design and Print, Books, Book Publishers",1,0.03125,Low
"Industrial Automation, Machine Vision, Equipment Repairs",1,0.03125,Low
"Advertising, Design Agencies, Flyers, Business cards, Vinyl, Stickers, Billboards, Billboard, Graphics, Graphic design",1,0.03125,Low
"Towing Service, Roadside assistance, Vehicle",1,0.03125,Low
"Home and Garden, Home Decor, Furniture Stores, Home Remodeling, Home Improvement, Electrical services",1,0.03125,Low
"Human Resources, Assessment and Development Consultants, Career Management and Planning Advisors, Market Research, Research and Development, Marketing, Business Development",1,0.03125,Low
"Communications, Mobile Phone Services, Computer Software Solution, Software Applications, Web Development, Database Driven Websites, Web Hosting, Web Services, Information Technology, Software, mobile app development, Website development, Software development",1,0.03125,Low
"Civil Engineering, Structural Engineers, Farming, Agricultural Equipment, Steel Products",1,0.03125,Low
"Hotels, Self Catering Accommodation, Hotel & Motel Equipment, Homestay, Accommodation",1,0.03125,Low
"Clothing and Accessories, Shoes, Boutique",1,0.03125,Low
"Catering, Catering Supplies, Industrial Premises, Site Clearance, Metals, Metal Fabrication, Food supply, Clearing and forwarding, Construction",1,0.03125,Low
"Guest Houses, Guest House, Budget accommodation",1,0.03125,Low
"Education, Schools, trust, School, Lusaka, Education",1,0.03125,Low
"Advertising, Web Design, Search Engine Optimisation, Web Designers, Web Development, Ecommerce, social media marketing, marketing agency, digital marketing",1,0.03125,Low
"General Office Services, Human Resources, Printing, Retail Services, Computer Software Solution, Scanning Services, Software, Barcodes",1,0.03125,Low
"Advertising, Graphic Design, Online Advertising, Outdoor Advertising, Building Maintenance, Construction",1,0.03125,Low
"Online Content, Online Communities, Research and Reference, Education, Tutoring, Business Education, Tutors",1,0.03125,Low
"Advertising, Digital Signage, Illustrators, Logo Design, Printing, Design and Print, Designing, Branding, Vehicle, Printing, Advertising",1,0.03125,Low
"Civil Engineering, Bridge Construction, Designing, Repairs, Construction, Engineering",1,0.03125,Low
"Advertising, Advertising Software, Media Consultancy, Online Advertising, Video Production, Zambia Yp, Advertising",1,0.03125,Low
"Advertising, Brand Management, Corporate Identity Design, T-Shirt Printing, Arts and Crafts, 3D Design, Branding, Design, Printing",1,0.03125,Low
"Event Services, Car Rental, Driving Schools, Logistics, Vehicle Services, Draving School, Central Driving School, Driving School Prices Near Me, Driving School in Lusaka, Driving Schools in Zambia, Driving Schools in Lusaka, Driving School, Lusaka",1,0.03125,Low
"Farming, Agricultural Supplies, Agriculture, Water Treatment, Pumps Manufacturers, Water Filters, Borehole drilling In zambia, Africa",1,0.03125,Low
